Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
Webkinz Restaurant,Burton Conner,B2,B2 Flounge,8/27/2024 20:00,8/27/2024 22:00,Where we make recipes just like mama used to make and make gak,"Food, Social, Games",TRUE
B5raoke,Burton Conner,B5,B5 Flounge,8/27/2024 20:00,8/27/2024 22:00,Join us for a friendly karaoke night to sing your favorite songs and eat your favorite snacks!,"Food, Party, Social",TRUE
Sardines,Burton Conner,C2,Conner 2 Flounge,8/27/2024 20:30,8/27/2024 22:00,"As an MIT student, you probably think you’re unique, but is it ever too much? Do you ever gaze wistfully upon those who can blend in, such as, say, identical tinned fish in a can? Get your conformity on with a game of sardines! ",Social,TRUE
"pl4y stupid g4mes, win stupid prizes",Burton Conner,B4,B4 Floor Lounge,8/27/2024 21:00,8/27/2024 23:00,"""we have las vegas at home” but this one is for the real pl4yers. gamble for glory (and treats) in a casino night to remember.","Social, Games",TRUE
B4 Musical Jam,Burton Conner,B4,B4 Floor Lounge,8/28/2024 12:00,8/28/2024 13:00,"Ooo la la la, *bangs sticks*, “strums guitar*, *shakes beans*, music to b4’s ears. Come contribute to a musical jam. Be the cool jazz musician you always wished you were! Traditional and non traditional instruments will be provided. No musical experience required. Let’s see what music we can make!",Social,TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/30/2024 16:30,8/30/2024 17:30,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/30/2024 19:00,8/30/2024 20:00,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/30/2024 23:00,8/31/2024 1:00,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
Real Life Angry Birds,East Campus,,Briggs Field A,8/24/2024 11:00,8/24/2024 13:30,"have you every played angry birds and though ""man, i really wish i could play this in real life""? well now you can!","Social, Games",TRUE
We have jungle at home: decorating succulent pots,East Campus,,Briggs Field A (EC Fort Construction Site),8/24/2024 13:00,8/24/2024 15:00,Come decorate your very own succulent pot with a variety of art supplies.,Art,TRUE
baking without a recipe!,East Campus,,Burton Connor TV Lounge,8/24/2024 16:00,8/24/2024 19:00,"baking by ✨vibes✨ (come bake cupcakes with us! no recipes allowed, only vibes :D)","Food, Social",TRUE
Mitski and Mochi,East Campus,,EC Stud Space (W20-006),8/24/2024 20:00,8/24/2024 21:00,we will eat Mochi while vibing to Mitski,"Food, Social, Art",TRUE
We're not here,East Campus,,Fort Build Site (Briggs Field A),8/24/2024 22:00,8/24/2024 22:19,Where’s “here” <thinking emoji>?,,TRUE
Be the canvas!,East Campus,,EC Stud Space (W20-006),8/25/2024 11:00,8/25/2024 13:00,like art? doodle in class? try being the canvas! draw on yourself with temporary tattoo ink and markers,"Social, Art",TRUE
"Grill, Chill, and Build",East Campus,,Fort Build Site (Field A),8/25/2024 12:00,8/25/2024 17:30,"power tools! ladders! safety! no experience required, burgers provided. Final push for East Side Party!","Food, Social",TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/25/2024 12:00,8/25/2024 18:00,"East Campus is running a sale on Hair Dyeing and Bleaching services. Today only*, stop by for a complementary hair transformation experience! *Also Monday, Tuesday, Wednesday and Thursday","Social, Art",TRUE
Toobing,East Campus,,Briggs Field A (EC Fort Construction Site),8/25/2024 14:00,8/25/2024 15:00,"We have a very large tube, large enough to fit a person inside. Time to go toobing!",Social,TRUE
ruin your wardrobe,East Campus,,Briggs Field A (EC Fort Construction Site),8/25/2024 14:30,8/25/2024 16:00,"you probably came here with all those new clothes mommy and daddy bought for you. or you've already received some truly atrocious orientation shirt. either way, wouldn't it be nice to turn those into something you'd ACTUALLY wear? *BRING CLOTHES*","Social, Art",TRUE
Trader Jacks,East Campus,,Briggs Field A (EC Fort Construction Site),8/25/2024 16:00,8/25/2024 18:00,"""Meet a friendly person named Jack Trade a deep secret for a tasty snack""","Food, Social",TRUE
EAST SIDE PARTY,East Campus,,Fort Build Site (Briggs Field A),8/25/2024 20:00,8/26/2024 1:00,"Join us for our biggest party of the year, East Side Party! Ride student-made attractions, get space-trained, climb our bouldering wall, wrestle in substances never before wrestled in. Dance your way to freedom from the tyranny of normal life on our fort, the Temple of Doom! 💃","Signature, Food, Party, Social, Games",TRUE
Graffiti 101,East Campus,,Briggs Field A,8/26/2024 14:00,8/26/2024 15:30,the most important freshman GIR.,Art,TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 14:00,8/26/2024 16:00,"You could get your hair dyed tomorrow. But you also could've gotten it dyed yesterday, and you didn't (unless you did, in which case you're awesome). Why wait any longer? You know you want to.","Social, Art",TRUE
Climbing Wall Open Hours,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 14:00,8/26/2024 16:00,Come test your skills on our climbing wall on the EC fort!,"Social, Games",TRUE
(Viscous) Jungle Juice,East Campus,,EC Stud Space (W20-006),8/26/2024 14:00,8/26/2024 16:00,"What's more amazonian jungle than fulfilling your middle school desires? It’s a jungle out there, so let’s slime our way through it together!","Social, Art",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Field A),8/26/2024 14:00,8/26/2024 16:00,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Tour, Social",TRUE
Bone Time,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 14:00,8/26/2024 16:00,"We have bones, we have string, come make jewelry.","Social, Art",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Field A),8/26/2024 19:00,8/26/2024 20:00,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Tour, Social",TRUE
East Campus Water Wars Prep,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 19:00,8/26/2024 20:00,Come build a tank and get EC ready to drench our opponents!!,"Social, Games",TRUE
Smol Desk Concert,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 19:30,8/26/2024 21:30,"Open mic. Instruments are not provided but are welcome. Sing a song, read a poem, tell a joke, do something","Social, Art",TRUE
Where'd we go?,East Campus,,Fort Build Site (Briggs Field A),8/26/2024 22:00,8/26/2024 22:19,"Idk, you tell me.",,TRUE
Climbing Wall Open Hours,East Campus,,Fort Build Site (Briggs Field A),8/27/2024 11:30,8/27/2024 13:00,Come test your skills on our climbing wall on the EC fort!,"Social, Games",TRUE
Jungle Jewelry,East Campus,,EC Stud Space (W20-006),8/27/2024 12:00,8/27/2024 13:00,Embody the amazon jungle by making charm and bead jewelry! ,"Social, Art",TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/27/2024 12:00,8/27/2024 15:30,What better way to appreciate the spirit of individualism and self-reliance than to get your hair dyed in ALL OF THE COLORS because you can and why not,"Social, Art",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Field A),8/27/2024 12:00,8/27/2024 15:30,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Food, Social",TRUE
Goth Girl IHOP x Catboy Cafe,East Campus,,Burton Community Kitchen,8/27/2024 13:00,8/27/2024 15:00,"Stop by for emo pancakes, cookies, and more :3 learn about life at mit from local goths and catboys ","Food, Social",TRUE
Doors 201: Lockpicking,East Campus,,1-150,8/27/2024 13:00,8/27/2024 14:00,An MIT education opens doors.,"Social, Games",TRUE
Plank your rocks off,East Campus,,Briggs Field A,8/27/2024 13:30,8/27/2024 14:30,do u like rocks? do u want rock-hard abs? bring a rock to trade a rock. or do a plank to take a rock. talk about rocks. rocks and rock-hard abs are not needed to participate,Social,TRUE
Super Secret Gay Time,East Campus,,Rainbow Lounge,8/27/2024 14:30,8/27/2024 15:30,"the secret­est, gayest time. come chat and eat snacks!","Food, Social",TRUE
cruftsmashing,East Campus,,Briggs Field A,8/27/2024 19:00,8/27/2024 21:00,"wanna smash old electronics? have built up rage from the hassle of unpacking?, wanna see other people let out demons? come to cruft smashing and see what you and a tool of your choice can do to some old electronics.","Social, Games",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Briggs Field A),8/27/2024 19:00,8/27/2024 20:00,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Food, Social",TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/27/2024 19:00,8/27/2024 20:00,What better way to appreciate the spirit of individualism and self-reliance than to get your hair dyed in ALL OF THE COLORS because you can and why not,"Food, Social",TRUE
PROTEST!!!,East Campus,,Fort Build Site (Field A),8/27/2024 20:00,8/27/2024 21:30,"to revolt is the natural tendency of life; even a worm turns against the foot that crushes it. prefrosh of mit, unite!","Social, Art",TRUE
Oh no where'd we go again?,East Campus,,Fort Build Site (Briggs Field A),8/27/2024 22:00,8/27/2024 22:19,Come join us in not-being-here.,,TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 12:00,8/28/2024 13:00,"If you're worried about what your parents will think, natural colors such as leaf green, sky blue, and grape purple also available.","Social, Art",TRUE
Climbing Wall Open Hours,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 12:00,8/28/2024 13:00,Come test your skills on our climbing wall on the EC fort!,"Social, Games",TRUE
Storyboarding Tim (Murals Without Walls?),East Campus,,EC Stud Space (W20-006),8/28/2024 12:00,8/28/2024 14:00,"""Do you love to paint on the walls? Do you love to mural? Disappoint­ing­ly we don't have EC walls... but we do have EC art supplies! Help us make murals depicting our life at MIT.	""","Social, Art",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 12:00,8/28/2024 16:00,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Food, Social",TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 12:00,8/28/2024 13:00,"If you're worried about what your parents will think, natural colors such as leaf green, sky blue, and grape purple also available.","Social, Art",TRUE
Hair Dyeing,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 16:30,8/28/2024 17:30,"If you're worried about what your parents will think, natural colors such as leaf green, sky blue, and grape purple also available.","Social, Art",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 16:30,8/28/2024 17:30,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Food, Social",TRUE
Gaysian Tea Party,East Campus,,EC Stud Space (W20-006),8/28/2024 19:00,8/28/2024 20:00,"""""""are you a gay slay? or are you asian? — or both?! come have & spill tea :)   (if you are neither gay nor asian, feel welcome as well!! all people are awesome and we would love to uwu with u!)""""""","Food, Social",TRUE
Grillz and Chillz,East Campus,,Fort Build Site (Briggs Field A),8/28/2024 19:00,8/28/2024 20:00,GRILLS R HOT ALL DAY! :D Come pick up a burg with friends,"Food, Social",TRUE
Knotical Nonsense,East Campus,,1-150,8/28/2024 20:00,8/28/2024 22:00,"Whether you're a thrill-seeker, an adventurer, or just someone who loves to learn new things, 'Knottical Nonsense' is the perfect place to learn to tie knots! You'll discover the knots used by climbers to reach new heights and riggers to lift heavy loads.","Social, Games",TRUE
Pinkies,East Campus,,BC Community Kitchen,8/28/2024 22:30,8/29/2024 00:30,"It’s your favorite diner! Pinkies offers the BEST food including grilled cheese, lemonade, Harry’s monstrosity, and lots more. Prepare for the element of surprise. Embrace the lack of information. ","Food, Social",TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/29/2024 10:00,8/29/2024 13:00,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
Climbing Wall Open Hours,East Campus,,Fort Build Site (Briggs Field A),8/29/2024 11:00,8/29/2024 13:00,Come test your skills on our climbing wall on the EC fort!,"Social, Games",TRUE
Python Bee,East Campus,,1-150,8/29/2024 14:30,8/29/2024 16:30,"the python bee is like a spelling bee, except instead of spelling a word you’re spelling a python program. the winner will get a bee of their very own","Social, Games",TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/29/2024 20:00,8/29/2024 23:00,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
Deconstruct the Fort,East Campus,,Fort Build Site (Briggs Field A),8/30/2024 12:00,8/30/2024 14:00,Help deconstruct the 3 story fort we so lovingly built and take wood home for your own project! If you like breaking things you'll love deconstruction,"Social, Games",TRUE
MacTour #1,MacGregor House,,MacGregor Courtyard,8/24/2024 19:00,8/24/2024 20:00,Want to look at what MacGregor rooms and common areas look like in person? Come on a 30 minute MacTour!!,Tour,TRUE
J-Entry Jisgusting,MacGregor House,J Entry,J Entry Main Lounge,8/25/2024 13:00,8/25/2024 17:00,"Join us as we cook an array of jisgusting dishes and play card games! Pick from an array of ingredients and let your creativity soar as you concoct an… original combination of flavors. Past inventions include: meat cheesecake, tuna fruit salad, and mystery murky meatloaf.","Food, Social",TRUE
Boba and Board Games with E-Entry!,MacGregor House,E Entry,E Entry Main Lounge,8/25/2024 16:00,8/25/2024 18:00,"Come by E-Entry to grab some bubble tea, play board games, and make new friends in a chill and relaxed atmosphere!","Social, Games",TRUE
MacTour #2,MacGregor House,,MacGregor Courtyard,8/25/2024 17:00,8/25/2024 18:00,Want to look at what MacGregor rooms and common areas look like in person? Come on a 30 minute MacTour!!,Tour,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/25/2024 20:00,8/25/2024 22:00,"Start/End your day with some despresso, dea, and dastries! No, the time is not a typo.",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/26/2024 20:00,8/26/2024 22:00,"Start/End your day with some despresso, dea, and dastries! No, the time is not a typo.",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/27/2024 20:00,8/27/2024 22:00,"Start/End your day with some despresso, dea, and dastries! No, the time is not a typo.",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/28/2024 20:00,8/28/2024 22:00,"Start/End your day with some despresso, dea, and dastries! No, the time is not a typo.",Social,TRUE
Fentry Feast,MacGregor House,F Entry,F Entry Main Lounge,8/25/2024 20:00,8/25/2024 22:00,Looking for a real meal? How about a feast? Come chat with Fentry and eat an entire REX budget worth of a homecooked meal!,"Food, Social",TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/25/2024 8:00,8/25/2024 10:00,"Start/End your day with some despresso, dea, and dastries!",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/26/2024 8:00,8/26/2024 10:00,"Start/End your day with some despresso, dea, and dastries!",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/27/2024 8:00,8/27/2024 10:00,"Start/End your day with some despresso, dea, and dastries!",Social,TRUE
Dentry Cafe,MacGregor House,D Entry,D Entry Main Lounge,8/28/2024 8:00,8/28/2024 10:00,"Start/End your day with some despresso, dea, and dastries!",Social,TRUE
Entry Panel,MacGregor House,,MacGregor Dining Room,8/26/2024 10:00,8/26/2024 11:00,Come learn more about the specifics of MacGregor's 9 Entries,Tour,TRUE
MacGrillin',MacGregor House,,MacGregor Courtyard,8/26/2024 14:00,8/26/2024 16:00,"Ever wanted meat from MacGregor's ""Brick Oven"". Head on over to MacGrillin'",Food,TRUE
Bentry Boba and Bracelet Beach Bash,MacGregor House,B Entry,B Entry Main Lounge,8/26/2024 15:00,8/26/2024 16:00,Come beat the heat while you make handcrafted beaded bracelets with the residents of MacGregor B Entry! Relax in the high rise and take in the sunny view,"Social, Art",TRUE
Saucy boogaloo,MacGregor House,H Entry,H Entry Main Lounge,8/26/2024 19:00,8/26/2024 21:00,Feeling saucy??  Come try out our selection of hot sauces!!  Will be served with chicken nuggets!!!  Will you be able to withstand the heat?? Or will you die trying... 😢,"Food, Games",TRUE
Dark Knight Movie Marathon,MacGregor House,E Entry,E Entry Main Lounge,8/26/2024 19:00,8/27/2024 1:00,"Tired after a long day of REX events? Come by E-entry to pick up some snacks, relax, and join us as we **attempt** to watch the entire Dark Knight trilogy in one night!",Social,TRUE
karaoke and korean fried chicken!!,MacGregor House,G Entry,G Entry Main Lounge,8/26/2024 20:00,8/26/2024 21:30,come join gentry for a fun time filled with singing your favorite tunes and munching on some delicious korean fried chicken!,"Food, Social",TRUE
C-Entry Coffee and Chat,MacGregor House,C Entry,C Entry Main Lounge,8/26/2024 8:00,8/26/2024 10:00,learn about c-entry over coffee and breakfast snacks :),Social,TRUE
Bentry Breakfast,MacGregor House,B Entry,B Entry Main Lounge,8/26/2024 9:00,8/26/2024 10:00,Come get breakfast at MacGregor B Entry! Meet the residents and eat yummy pancakes.,"Food, Social",TRUE
Bentry Breakfast,MacGregor House,B Entry,B Entry Main Lounge,8/27/2024 9:00,8/27/2024 10:00,Come get breakfast at MacGregor B Entry! Meet the residents and eat yummy pancakes.,"Food, Social",TRUE
Bentry Breakfast,MacGregor House,B Entry,B Entry Main Lounge,8/28/2024 9:00,8/28/2024 10:00,Come get breakfast at MacGregor B Entry! Meet the residents and eat yummy pancakes.,"Food, Social",TRUE
MacTour #3,MacGregor House,,MacGregor Courtyard,8/27/2024 11:30,8/27/2024 12:30,Want to look at what MacGregor rooms and common areas look like in person? Come on a 30 minute MacTour!!,Tour,TRUE
Jicnic in the Jourtyard,MacGregor House,J Entry,MacGregor Courtyard,8/27/2024 12:00,8/27/2024 14:00,Join us for an afternoon of frockling outdoors in the MacGregor courtyard! Spend some time getting to know J Entry! Enjoy delicious picnic food! Polish your game of pickup basketball (or learn the very basics!) Have a jolly old time.,"Food, Games",TRUE
Get Hosed,MacGregor House,H Entry,MacGregor Courtyard,8/27/2024 14:00,8/27/2024 15:30,Looking to escape the heat???  Come get your first taste of MIT's Firehose and pummel other prefrosh with water balloons!!!  We promise it'll be more fun than getting hosed with work during the semester!,Games,TRUE
Board Games and Puzzles with C Entry,MacGregor House,C Entry,C Entry Main Lounge,8/27/2024 14:00,8/27/2024 15:30,"Get to know C entry through an afternoon of board games and puzzles, complete with C-themed (and other) snacks! Vegan and gluten-free options will be available.","Social, Games",TRUE
Bentry Burgers and Basketball,MacGregor House,B Entry,MacGregor Courtyard,8/27/2024 19:00,8/27/2024 21:00,Play basketball with burgers on the grill in the MacGregor courtyard with the residents of B Entry!,"Food, Games",TRUE
PanEnEs!,MacGregor House,E Entry,E Entry Main Lounge,8/27/2024 19:00,8/27/2024 21:00,Feeling hungry? Stop by E-Entry's signature REX event to build yourself a delicious panini sandwich!,"Food, Social",TRUE
