ID,Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
NX27,3W: Painting Puzzles,Next House,3W,3W Main Lounge,2026-08-31 19:00,2026-08-31 20:30,"Come join 3W in constructing a 1000p jigsaw puzzle! Before putting the puzzle together, we will first be painting the pieces. Snacks included.","Snacks, Social, Art",TRUE
NX28,3W: Board Games and Matcha,Next House,3W,3W Main Lounge,2026-09-02 20:00,2026-09-02 22:00,Enjoy the vast 3W board game collection while sipping on high quality homemade matcha!,"Snacks, Social, Games",TRUE
NX29,5E: Let's Get Crafty (and Snacky),Next House,5E,5E Main Lounge,2026-09-02 18:30,2026-09-02 20:00,"Join 5E for a chill session of arts, crafts, and tasty snacks from around the world! Origami, painting, and other creative projects — no experience needed. There will also be a bunch of international treats. Bring your friends, relax, and get crafty (and snacky) with us!","Snacks, Art, Social",TRUE
NX30,Next Haunt - Haunted Escape Room!,Next House,Next Haunt,Private Dining Room,2026-08-30 22:00,2026-08-31 01:00,"Are you excited for Halloween? Yes, it's August, but ARE YOU EXCITED FOR HALLOWEEN? Swing by Next Haunt's booth for a mini escape room experience rife with snacks, prizes, and spo0kiness!",,TRUE
NX31,Next Sing's Open Rehearsal!,Next House,Next Sing,TFL Piano Area,2026-08-31 20:00,2026-08-31 21:00,"What's that strain of melody in the distance? Come sing ""Do You Hear the People Sing?"" with the Next Sing gang! We're a low-key acapella group based in Next House, open to anyone and everyone!",Social,TRUE
NX32,Next Act - Theatre Game Night,Next House,Next Act,TFL,2026-09-01 21:00,2026-09-01 22:00,Join Next Act for a fun night of improv games and acting shenanigans! there will be snacks :),"Social, Games",TRUE
NX33,Meringue Roulette,Next House,Next Bake,Country Kitchen,2026-09-02 17:00,2026-09-02 19:00,Put your palate to the test with Meringue Roulette! Come for the sugar. Stay for the statistical uncertainty...,"Snacks, Games",TRUE
NX34,Next Act - The Guy who Didn't Like Musicals Watch Party,Next House,Next Act,TFL TV Area,2026-09-02 19:00,2026-09-02 21:00,"Do you feel like the world is suddenly bursting into song and you’re the only one not in on it? So does The Guy Who Didn’t Like Musicals, an ordinary guy who just wants a normal day without spontaneous singing. Join us for a film screening of Next Act's CPW 2026 production!",Snacks,TRUE
NX35,Next Sing Karaoke,Next House,Next Sing,Basement,2026-09-01 22:00,2026-09-02 01:00,"Does singing make you Happier Than Ever? Well, Good 4 U! It's About Damn Time you join us for a Golden evening in our APT (the Next House basement) to make A Million Dreams of singing come true For Good. (And if you don't like singing, you could always Shut Up and Dance).",Social,TRUE
NX36,Next Film Festival,Next House,Next Film,TFL TV Area,2026-09-01 19:00,2026-09-01 21:00,"Come to Next Film's very first Festival, where we will be showing the movies we've made over the past year to you, our audience. Including the world premiere of our Spring 2026 film, WAS, a Saw Parody. There will also be plenty of snacks.","Snacks, Social, Art",TRUE
NX37,(Trojan) Horsing Around,Next House,Next Big Thing,Courtyard,2026-09-01 19:30,2026-09-01 21:30,"How many Trojan horses have you used before? Really? None? Not even one??? If you'd like to correct what has been a glaring omission in your life up to this point, come to the Next House Courtyard to wheel around a giant wooden horse and chat with Next Big Thing!",Social,TRUE
RN01,Eat Your Asian Vegetables,Random Hall,Clam,Clam Kitchen,2026-08-29 12:17,2026-08-29 14:17,Come eat all the Asian veggies you'll never find at a dining hall!! Rice and Pork Bone Soup included on the side. You can also come learn food security and food sources at MIT.,"Meal, Social",TRUE
RN02,bLOOd oN ThE CLOckTOWER,Random Hall,Black Hole,Black Hole Kitchen,2026-08-29 13:17,2026-08-29 16:17,"HEY KIDS!!! WANNA PLAY FUN SOCIAL DEDUCTION GAME BLOOD ON THE CLOCKTOWER WITH ME, uhh, A PERSON?!!??? ALL AGES, EXPERIENCES, AND THINGS WELCOME!!! WE WILL HAVE REAL BLOOD! (for legal reasons this is kool aid)","Snacks, Games",TRUE
RN03,"Um, Actually!",Random Hall,Bonfire,Bonfire Lounge,2026-08-29 14:47,2026-08-29 16:17,"Are you a little pedantic and/or know random factoids? Then come to ""Um, Actually""! We will say subtly wrong 'facts' and you must correct us (by saying ""Um, Actually..."").","Snacks, Games",TRUE
RN04,exhale and eat pie :),Random Hall,BMF,BMF Kitchen,2026-08-29 16:17,2026-08-29 17:47,come take a break and eat some strawberry pie (whipped and ice cream also available) :),Snacks,TRUE
RN05,Roofdeck Garden Tour + Adopt a Plant,Random Hall,,Roofdeck,2026-08-29 16:47,2026-08-29 18:47,"Tour the Random Hall Roofdeck Garden, learn about growing your own vegetables and flowers, eat some produce, and maybe take home a little plant of your own!","Art, Social",TRUE
RN06,Nekomimi Maid Cafe,Random Hall,Destiny,Foo,2026-08-29 18:47,2026-08-29 20:17,Come to Random to be served delicious food by maids with cat ears! kawaii neko maid cafe(=^-.-^=)/ nyaa~,"Meal, Social, Signature",TRUE
RN07,Arcane,Random Hall,Bonfire,Bonfire Lounge,2026-08-29 19:47,2026-08-30 01:00,"We're watching all 0_0 of acclaimed TV show arcane! Please come by whenever and watch, or watch the whole thing for the complete Bonfire Media experience. Snacks provided!","Snacks, Social",TRUE
RN08,Applied Knot Theory,Random Hall,Pecker,Pecker Lounge,2026-08-29 20:17,2026-08-29 21:17,Learn to tie pretty knots with pretty people!,"Social, Art",TRUE
RN09,Breakfast of CHAMPIONS!,Random Hall,Black Hole,Black Hole Kitchen,2026-08-30 08:47,2026-08-30 09:47,"Before ascending to the hallowed planks of the great roof of Randomhalla, it is advisable to feast upon... uh... toast, maybe?",Meal,TRUE
RN10,RANDOMHALLA!,Random Hall,,Roofdeck,2026-08-30 09:47,2026-08-30 11:47,"Upon the lofty planks of Randomhalla, brave warriors do fight. O'er the roofdeck shall the sounds of boffer swords ring.",Games,TRUE
RN11,Polymer Clay Science,Random Hall,Pecker,Pecker Kitchen,2026-08-30 10:17,2026-08-30 12:47,"Forge plastic trinkets with your very own blood, sweat, and tears. Also we might talk about polymer science.","Art, Social",TRUE
RN12,Become 2% Milk,Random Hall,Clam,Clam Kitchen,2026-08-30 12:47,2026-08-30 14:17,"Have you ever wanted to become 2% milk? Now you can!
Come and see if you can drink enough milk to become 2% milk by mass!! (vegan/vegetarian milk options available, as well as REAL food (soup and veggies)!!!).","Meal, Social",TRUE
RN13,Kitty Cat Castles,Random Hall,Loop,Loop Lounge,2026-08-30 13:17,2026-08-30 15:00,Help out the Random Hall cats this REX by building them custom cardboard boxes! A few may come by to supervise the work :3,"Art, Social",TRUE
RN14,Pasta Origami,Random Hall,Black Hole,Black Hole Kitchen,2026-08-30 17:17,2026-08-30 20:17,"Origami is the art of paper-folding, but it seems I forgot the paper at home! Luckily I have all this pasta dough lying around… Come and attempt the art of pasta-folding and pasta-eating!!","Meal, Art",TRUE
RN15,Sapphic Cartoons and Plushie Piles,Random Hall,Loop,Loop Lounge,2026-08-30 18:17,2026-08-30 19:47,Watch some LGBTQ+ (emphasizing the L) cartoons with fellow fans while sinking into blanket/plushie piles! Snacks will be included!,"Snacks, Social",TRUE
RN16,Karaoke: NERD EDITION!,Random Hall,Destiny,Destiny Lounge,2026-08-30 19:47,2026-08-30 21:17,"Sing songs from your favorite video game, anime, movie, TV show, or whatever your nerdy soul desires!
Gamer snacks shall be provided","Snacks, Party",TRUE
RN17,Befoul our Walls!,Random Hall,Black Hole,Black Hole Kitchen,2026-08-30 20:17,2026-08-30 23:17,"WE HAVE ENOUGH ACRYLLIC PAINT TO CONQUER THE WORLDDDD! BUT FIRST, CONQUER OUR WALLS, PAINT THEM WITH THE COLORS OF YOUR ENEMIES",Art,TRUE
RN18,ghibli brunch,Random Hall,Pecker,Pecker Kitchen,2026-08-31 09:47,2026-08-31 11:30,ever watched a ghibli movie and thought the food looked delicious? come to pecker to try it out in real life!,"Meal, Social",TRUE
RN19,Make and Eat Jurassic Park,Random Hall,Black Hole,Black Hole Kitchen,2026-08-31 19:17,2026-08-31 21:17,"We build a big mashed potatoes volcano, hot gravy lava, and put in dino nuggies as dinos and brocolli for trees. We will go as big as possible and eat to become as big as possible.","Meal, Social",TRUE
RN20,Random Hall Only Connect,Random Hall,BMF,BMF Lounge,2026-08-31 20:17,2026-08-31 22:17,"do you like New York Times connections and/or game shows? bring your friends to play a game of (slightly MIT themed) Only Connect, my favorite quiz show :D","Social, Games",TRUE
RN21,Furry Movie Night!,Random Hall,Clam,Clam Lounge,2026-08-31 22:17,2026-09-01 00:17,"Meowdy! :3c  Wanna watch a movie about fuzzy anthropomorphic creatures doing fuzzy creature things? Come hang out and meet some other furry and furry-adjacent friends on Clam!

[come within the first ~15ish minutes to be able to choose which movie we watch!]",Social,TRUE
RN22,Complete Breakfast,Random Hall,Clam,Clam Kitchen,2026-09-01 08:17,2026-09-01 09:30,"Tired of dessert for breakfast? Join us for a well balanced meal of rice, veggies, chicken, fish, eggs, dumplings, and fruit to start your day!","Meal, Social",TRUE
RN23,FYRE Festival,Random Hall,,Roofdeck,2026-09-01 19:17,2026-09-01 21:17,"“first-class culinary experiences and a luxury atmosphere”
(no)","Party, Meal, Games",TRUE
RN24,Moving Sofa Problem but there isn't a sofa,Random Hall,,Roofdeck,2026-09-01 21:17,2026-09-01 22:17,"The reason why there isn't a sofa is because that would mean I would have to haul the sofa to its starting place, and I am too feeble to haul a sofa up four flights of narrow stairs.

There will be, however, the Mega Milk.",Games,TRUE
RN25,sketchbook swap!,Random Hall,Clam,Clam Kitchen,2026-09-01 22:17,2026-09-01 23:47,Bring your sketchbook! Make new friends and doodle in eachother's sketchbooks in Clam kitchen (clam = best floor btw not biased :3c),"Art, Social",TRUE
RN26,Mysterious Breakfast,Random Hall,Black Hole,Black Hole Kitchen,2026-09-02 08:47,2026-09-02 09:30,"What's it going to be? (Disappointing, probably.)",Meal,TRUE
RN27,you may fascinate a frosh with a piece of cheese,Random Hall,Loop,Loop Kitchen,2026-09-02 16:17,2026-09-02 19:17,"eat cheese! break bread! get advice from people 0-3 years older than you! and more, with loop-random-hall's TWO residents!","Snacks, Social",TRUE
RN28,Roofdeck Movies and Shows!,Random Hall,Black Hole,Roofdeck,2026-09-02 23:17,2026-09-03 01:00,"Watch movies and tv shows on the random hall roofdeck using our giant projector! We can and will watch anything, though if allowed,  dictatorship of doctor who and studio ghibli will be instilled.","Snacks, Social",TRUE
RN29,Random Coffeehouse,Random Hall,BMF,BMF Kitchen,2026-09-03 08:17,2026-09-03 10:17,"coffee, matcha, hot chocolate, pastries","Snacks, Social",TRUE
RN30,Paper Ozoks,Random Hall,Black Hole,Black Hole Kitchen,2026-09-03 10:17,2026-09-03 12:17,Make your own low-poly Ozok!,Art,TRUE
RN31,Honor The Milk,Random Hall,Clam,Clam Kitchen,2026-09-03 12:17,2026-09-03 14:17,come eat snacks and make colorful toast art to honor the Milk!,"Snacks, Art",TRUE
RN32,Moist Armory,Random Hall,,Basement,2026-09-03 14:17,2026-09-03 16:47,"Arm yourself for moist combat
We shall produce weapons... perhaps even a MEGA MILK???","Art, Games",TRUE
RN33,Fazbear Night at FredLoop's Pizza,Random Hall,Loop,Loop Lounge,2026-09-03 20:47,2026-09-04 00:17,"Fazbear Entertainment Presents: A Welcoming Pizza Pgathering! Play FNAF games while eating FNAF-ish food of a legally-acceptable quality at Loop Random Hall, where fantasy and fun come to life!","Meal, Games",TRUE
RN34,Breaklast,Random Hall,Black Hole,Black Hole Kitchen,2026-09-04 08:47,2026-09-04 09:30,"It's called breaklast because it's the last Random Hall REX breakfast event

this means we can steal all the other events' leftover snacks",Meal,TRUE
RN35,souptastic!,Random Hall,BMF,BMF Kitchen,2026-09-04 16:30,2026-09-04 19:00,"do you have some questionable, uncontrollable urge to eat soup despite the fact it's the middle of summer? [...]have no fear! have soup instead! grab a bowl, make some friends! or just grab a bowl and leave! it doesn't matter to me. soup :3","Meal, Social",TRUE
SM01,Origami Spiky Balls,Simmons Hall,,Craft Room,2026-08-31 19:00,2026-08-31 21:00,"Come make a origami spiky ball with us in Simmons craft room! This isn't just your ordinary origami project, here, you will be the orchestrator of 12 pieces of paper coming together to form a geometrically satisfying spike ball!","Art, Party, Social",TRUE
SM02,Mario Kart Sponge,Simmons Hall,,TV Lounge,2026-08-29 16:30,2026-08-29 18:00,Play Mario Kart with residents of Simmons!! Feel free to ask any questions about Simmons dorm life.,"Social, Games",TRUE
SM03,Scootah Hockey,Simmons Hall,,Simmons Dining Hall,2026-08-30 19:00,2026-08-30 21:00,"remember those beloved scooters you used to sit and roll around on in elementary school? well, now you can play hockey on them!","Games, Snacks, Social",TRUE
SM04,Meet the Press!: Printing Workshop,Simmons Hall,,Simmons Room 480,2026-08-29 14:30,2026-08-29 16:30,"Try your hand at a traditional printing press and make your own custom print! Learn how the press works, ink a plate, and create a poster or card to take home. No experience needed—just come ready to get a little inky and make something cool.","Art, Social",TRUE
SM05,S-Cubed (Soccer and Spikeball with the Sponge),Simmons Hall,,Briggs Field E (outside Simmons),2026-09-03 15:00,2026-09-03 18:00,"Come play soccer, spikeball, and make ice cream in soccer balls! (not affiliated with student support services)","Social, Games",TRUE
SM06,Pico Park,Simmons Hall,,Tv Lounge,2026-08-30 17:00,2026-08-30 19:00,Make friends (and enemies) playing Pico Park!,"Social, Games",TRUE
SM07,board games + ice cream,Simmons Hall,,Party Room,2026-09-03 21:00,2026-09-03 23:00,Play Catan! Play Codenames! Play Risk! Play any game you want from the Simmons board game collection and/or enjoy a sweet ice cream snack!,"Social, Snacks, Games",TRUE
SM08,Smash bros tourney!!,Simmons Hall,,TV Lounge,2026-09-01 19:00,2026-09-01 21:00,Smash the bros. Prizes and snacks.,"Social, Games",TRUE
SM09,Top of the Sponge,Simmons Hall,,7th floor terrace,2026-09-01 20:00,2026-09-02 00:00,party on simmons rooftop!!,"Social, Party, Signature, Snacks",TRUE
SM10,Professional Politicking,Simmons Hall,,MPR,2026-08-29 15:00,2026-08-29 17:00,"Run as a presidential candidate for a random nation under a pseudorandomly-generated party with bizarre platforms and debate against your opponents. Or be a citizen, ask the candidates the tough questions, and vote for your favorite! (A lighthearted, fast-paced simulation game)","Social, Games",TRUE
SM11,Medieval Sword Fights,Simmons Hall,,Craft Room (first hr) + MPR (second hr),2026-09-03 13:00,2026-09-03 14:30,"Here ye, here ye! The grandest of medieval pastimes is upon us: the Simmons sword fight. In just one hour, craft yourself some armor, a shield, and a trusty sword, then fight...to the death!...figuratively.","Social, Games",TRUE
SM12,Simfinite Hopscotch,Simmons Hall,,Simmons Sidewalk,2026-09-03 10:00,2026-09-03 13:00,"The walk to and from Simmons is so long... if only we had a comically extensive hopscotch all the way to campus! Join us in decorating the sidewalk with hopscotch squares, hiding easter eggs, and adding some whimsy to Vassar Street!","Social, Art, Games",TRUE
SM13,Fanfiction Galore,Simmons Hall,,Party Room,2026-08-29 17:00,2026-08-29 19:00,"Write some hilarious or angsty fanfic about anything from Tim the Beaver to Simmons Hall, readers come and rate the best story!","Games, Art",TRUE
SM14,Duck Hunt (Simfest),Simmons Hall,,Around Simmons,2026-09-03 14:30,2026-09-03 16:30,There are many ducks scattered in the sponge. Find the ducks; the person who finds the most gets a prize.,"Social, Games",TRUE
SM15,Late Night Nugs,Simmons Hall,,Country Kitchen  + Old Late Night,2026-09-03 22:00,2026-09-04 00:30,Absurd amount of nugs late at night,"Meal, Snacks, Social",TRUE
SM16,Tower Defense,Simmons Hall,,MPR,2026-08-30 11:00,2026-08-30 14:00,"Team up and see who can stack the tallest tower, but be wary of other teams that can throw soft projectiles to knock down your tower, so strategy, speed, and teamwork are key!!","Social, Games",TRUE
SM17,Volleyball,Simmons Hall,,Briggs Field E (outside Simmons),2026-08-29 18:00,2026-08-29 19:00,Come play volleyball with fellow Sims!,"Social, Games, Snacks",TRUE
SM18,Glow in the Dark Volleyball & chill,Simmons Hall,,Briggs Field E (outside Simmons),2026-08-31 20:00,2026-08-31 22:00,"EVERYTHING is GLOWING — we gotchu with music, drinks, comfort, and convos","Party, Social, Games, Snacks",TRUE
SM19,Cupcake Decorating,Simmons Hall,,Country Kitchen  + Old Late Night,2026-09-02 14:00,2026-09-02 17:00,Come decorate cupcakes and hang out! We'll have prizes for the best (and worst) cupcakes! Gluten free options available.,"Art, Social, Snacks",TRUE
SM20,Sims Sings,Simmons Hall,,MPR,2026-08-29 21:00,2026-08-29 23:00,"sing your heart out on the stage of superstars —they say if you're ever in a position where you're being chased by a cucumber, then grab the mic","Party, Social",TRUE
SM21,S'more S'mores,Simmons Hall,,Barbecue Grills outside lobby,2026-08-30 21:00,2026-08-30 23:00,It is prime smore's season so puuu!,"Social, Snacks",TRUE
SM22,Milkshake Bar,Simmons Hall,,Country Kitchen  + Old Late Night,2026-09-04 16:30,2026-09-04 18:00,Join us for some milkshakes! You can just have milk too if you want,"Snacks, Social",TRUE
SM23,Pancake Breakfast: A New Batch of Freshmen,Simmons Hall,,Country Kitchen  + Old Late Night,2026-08-30 08:30,2026-08-30 11:00,"Spatulas are our lightsabers, Simmons is our Millenium Falcon, and our charm and grace are our tractor beams. Come eat pancakes with us!","Meal, Social",TRUE
SM24,Pancake Breakfast: The Batter Strikes Back,Simmons Hall,,Country Kitchen  + Old Late Night,2026-08-31 08:30,2026-08-31 11:00,"Stay up all night did you, hmm? For breakfast (or dinner) come join us! Love pancakes, you must","Meal, Social",TRUE
SM25,Pancakes: The Last Starch,Simmons Hall,,Country Kitchen  + Old Late Night,2026-09-03 08:30,2026-09-03 11:00,It pains me to say that this is the last pancake breakfast for Simmons CPW 2018. Enjoy.,"Meal, Social",TRUE
SM26,GATAS,Simmons Hall,,2nd Floor Game Area,2026-08-31 19:00,2026-08-31 20:00,Objectively the best use of any pool table- a fast-paced billiards game that is a long-standing Simmons tradition!,"Games, Social",TRUE
SM27,Late Night Office Hours,Simmons Hall,,Party Room,2026-08-31 22:00,2026-09-01 00:00,Questions about Simmons? MIT? Just want somewhere to chill after running around all day? Come join us!,Social,TRUE
SM28,Chalk Muraling (Second floor),Simmons Hall,,2nd floor outside library,2026-09-03 13:00,2026-09-03 15:00,Come partake in the classic chalking of the Simmons walls!,"Social, Art",TRUE
SM29,Simmons Tour,Simmons Hall,,Meet in Mailbox Lounge!,2026-08-29 13:30,2026-08-29 14:30,Come tour the many halls of Simmons!,Dorm Tour,TRUE
SM30,Simmons Tour,Simmons Hall,,Meet in Mailbox Lounge!,2026-08-30 14:00,2026-08-30 15:00,Come tour the many halls of Simmons!,Dorm Tour,TRUE
SM31,Just Dance (Gonna be ok),Simmons Hall,,Simmons MPR,2026-08-29 19:00,2026-08-29 21:00,Join us for a night of dancing and snacks!,"Party, Snacks, Social",TRUE
SM32,Watt Are We Doing?,Simmons Hall,,7C lounge,2026-09-03 16:00,2026-09-03 18:00,Come pretend we understand electricity until caffeine becomes our primary source of charge. Bring your notes and enjoy.,"Meal, Social",TRUE
SM33,Hot Dog Showdown,Simmons Hall,,Barbecue Grills outside,2026-08-31 20:00,2026-08-31 22:00,"Think you can out-eat everyone else? Come eat, compete, and claim the title of hot dog champion. You are welcome to spectate or just stop by for a hot dog!","Meal, Social",TRUE
SM34,"Boba, Hot Chocolate & Stargazing",Simmons Hall,,Briggs Field E (outside Simmons),2026-08-29 22:00,2026-08-30 00:00,Want to stay up late? Why not spend the evening stargazing at Briggs Field with the Simmons telescope (boba and hot chocolate included)! We'll be viewing the Moon/Saturn conjunction and the Andromeda Galaxy through the telescope and snapping photos through the eyepiece.,Social,TRUE
SM35,Wii Sports,Simmons Hall,,TV Lounge,2026-09-02 14:00,2026-09-02 16:00,Come play Wii sports with the residents of Simmons!,"Social, Games",TRUE
NX38,Next Little Thing,Next House,Next Big Thing,Courtyard,2026-09-01 19:30,2026-09-01 21:30,"Come do some miniature construction projects and meet the team of Next Big Thing, a new student build group starting up this year!",,TRUE
DC01,Water Wars,DormCon,,Killian Court,2026-09-03 17:00,2026-09-03 18:00,"In Killian Court where the brave do spar, we build great forts and wage water war.",Signature,TRUE
EC38,CryoFAC,East Campus,,W20: Stratton Student Center,2026-08-30 11:00,2026-08-30 15:00,"An over 25-year-old tradition within EC, your favorite freshly made liquid nitrogen ice cream CPW event—CryoFAC—is brought back to you during REX for the first time in years! And, with some niche (and performative) flavors as well... *pulls out matcha-rose-saffron*","Snacks, Social",TRUE
